Year,ID,Image_Reference,Question,Option A,Option B,Option C,Option D,Answer,subject,exam_type
2004,32,N/A,The breakdown of fats and oils into simpler absorbable compounds is catalyzed by the group of enzymes called,hydrolases,amylases,peptidases,lipases,D,biology,Jamb
2004,33,diag_2004_q33_34.png,The process of pollination involves the transfer of pollens from,II to III,IV to I,I to II,III to IV,A,biology,Jamb
2004,34,diag_2004_q33_34.png,The part labelled II is the,stigma,anther,filament,style,B,biology,Jamb
2004,35,N/A,All living cells require water because it,prevents the development of diseases in cells,is the main source of energy for the cells,is a medium for all metabolic reactions,is a medium that neutralizes acids in cells,C,biology,Jamb
2004,36,N/A,Epigeal germination of a seed is characterized by,equal growth rate of both the hypocotyl and epicotyl,more rapid elongation of the hypocotyl than the epicotyl,lack of growth of the hypocotyl than the epicotyl,more rapid elongation of the epicotyl,B,biology,Jamb
2004,37,N/A,The anaerobic fermentation of a glucose molecule yields,pyruvic acid and alcohol,water and carbon (IV) oxide,2 ATP molecules and alcohol,38 ATP molecules,C,biology,Jamb
2004,38,diag_2004_q38_39.png,The bones labelled II are called,lumbar vertebrae,thoracic vertebrae,cervical vertebrae,sacral vertebrae,A,biology,Jamb
2004,39,diag_2004_q38_39.png,The type of joint between adjacent bones in the part labelled II is the,hinge joint,ball-and-socket joint,suture joint,sliding joint,D,biology,Jamb
2004,40,N/A,In the internal structure of plants, a wide pith in the center is common to,dicot stems and monocot roots,dicot roots and monocot roots,dicot roots and monocot stems,dicot stems and monocot stems,biology,Jamb
2004,41,N/A,The most common characteristic of the fungal hyphae is the possession of,cell-like partitions formed by cross-walls,cell-like compartments with one nucleus each,cell walls that are both rigid and chitinous,a multicellular mycelium in the substrate,C,biology,Jamb
2004,42,N/A,The function of the long-winged reproductives in a termite colony is to,feed the young,disperse the population,protect the young,participate in swarming,B,biology,Jamb
2004,43,diag_2004_q43_44.png,The endoplasmic reticulum is represented by the part labelled,IV,III,II,I,A,biology,Jamb
2004,44,diag_2004_q43_44.png,The part labelled II is responsible for,protein synthesis,excretion,photosynthesis,respiration,D,biology,Jamb
2004,45,N/A,A plant-like feature in Euglena is the,gullet,large vacuole,pellicle,pigment spot,B,biology,Jamb
2004,46,N/A,The larval stage of a mosquito is called,maggot,caterpillar,grub,wriggler,D,biology,Jamb
2004,47,N/A,The absence of special food and water-conducting systems restricts the body size in,liverworts mosses and ferns,the thallophytes and the pteridophytes,algae liverworts and mosses,the bryophytes and the pteridophytes,C,biology,Jamb
2004,48,N/A,A peculiar characteristic of mammals is that they,have lungs,have sebaceous glands,are warm-blooded,have teeth,B,biology,Jamb
2004,49,N/A,Insects are considered the most successful among the invertebrates because they,have wings for flight,possess exoskeletons,possess the ability to change their forms,survive in various environmental conditions,D,biology,Jamb
2004,50,N/A,The rods in the retina of the eye are examples of,systems,cells,tissues,organs,B,biology,Jamb
