Year,ID,Image_Reference,Question,Option A,Option B,Option C,Option D,Answer,subject,exam_type
2003,21,N/A,The most important hormone that induces the ripening of fruit is,cytokinin,indole acetic acid,ethylene,gibberellin,C,biology,Jamb
2003,22,N/A,Metabolic production of urea is carried out in the,urinary bladder and kidney,pancreas,kidney and Malphigian tubule,liver,D,biology,Jamb
2003,23,N/A,"In mammalian males, the excretory and reproductive systems share the",ureter,testes,vas deferens,urethra,D,biology,Jamb
2003,24,N/A,The best method of propagating sugarcane is by,stem cuttings,seed sowing,layering,grafting,A,biology,Jamb
2003,25,N/A,The response of plants to external stimuli in a non-directional manner is known as,nastic movement,phototropism,tactic movement,geotropism,A,biology,Jamb
2003,26,diag_2003_q26_27.png,The structure can be found in the,peripheral and central nervous systems,peripheral nervous system only,sympathetic and parasympathetic nervous systems,central nervous system only,A,biology,Jamb
2003,27,diag_2003_q26_27.png,The point marked I is referred to as,myelin sheath,dendrites,node of Ranvier,axon,C,biology,Jamb
2003,28,N/A,Homologous pairs of chromosomes separate during,meiosis,cytolysis,mitosis,cleavage,A,biology,Jamb
2003,29,N/A,An example of a caryopsis is,coconut,tomato,guava,maize grain,D,biology,Jamb
2003,30,N/A,A limiting factor in a plant population near a chemical factory is likely to be,humidity,pH,wind,light,B,biology,Jamb
2003,31,N/A,The pioneer organisms in ecological succession are usually the,lichens,algae,ferns,mosses,A,biology,Jamb
2003,32,N/A,Mycorrhiza is an association between fungi and,roots of higher plants,filamentous algae,bacteria,protozoans,A,biology,Jamb
2003,33,N/A,A density-dependent factor that regulates the population size of organisms is,sudden flood,disease,fire outbreak,drought,B,biology,Jamb
2003,34,N/A,The most effective method of dealing with non-biodegradable pollutants is by,burying,dumping,incineration,recycling,D,biology,Jamb
2003,35,N/A,Soil fertility can best be conserved and renewed by the activities of,microbes,earthworms,man,rodents,A,biology,Jamb
2003,36,N/A,The correct sequence of biomes from Northern to Southern Nigeria is,estuarine -> tropical rain forest -> guinea savanna -> sahel savanna,sahel savanna -> sudan savanna -> guinea savanna -> tropical rainforest -> estuarine,sahel savanna -> tropical rain forest -> estuarine -> guinea savanna,guinea savanna -> sudan savanna -> tropical rain forest -> sahel savanna -> estuarine,B,biology,Jamb
2003,37,N/A,One example of fossil fuels is,coral,limestone,firewood,coal,D,biology,Jamb
2003,38,N/A,"If the pair of alleles for baldness is given as Bb, a female carrier will be denoted by",X^B X^b,X^B X^B,X^b Y,X^B Y,A,biology,Jamb
2003,39,N/A,An organism that has been extensively used to test the chromosome theory of heredity is,Homo sapiens,Drosophila melanogaster,Zea mays,Musca domestica,B,biology,Jamb
2003,40,N/A,A feature associated with the Y-chromosome in humans is,facial hairs,prominent finger nails,long eyelashes,enlarged breast,A,biology,Jamb
2003,41,N/A,A man and his wife are both heterozygous for the sickle-cell trait. The likely percentage of their offspring that will be either carriers or 'sicklers' is,50%,25%,75%,100%,C,biology,Jamb
2003,42,N/A,The type of reproduction that leads to variation in animal and plant population is,budding,vegetative,asexual,sexual,D,biology,Jamb
2003,43,N/A,"If a DNA strand has a base sequence TCA, its complementary strand must be",ATG,GAT,AGT,TAG,C,biology,Jamb
2003,44,N/A,Which of the following requires the use of carbon dating to prove that evolution has occurred?,Biochemical similarities,Molecular records,Fossil records,Comparative anatomy,C,biology,Jamb
2003,45,N/A,The presence of sunken stomata and the folding of leaves are adaptations to,prevent entry of pathogens,prevent guttation,remove excess water,reduce water loss,D,biology,Jamb
2003,46,N/A,Spines and shells on animals are adaptations for,physical defence,camouflage,chemical defence,mimicry,A,biology,Jamb
2003,47,N/A,The inactive state exhibited by an animal during hot dry seasons is termed,aestivation,dormancy,resting,hibernation,A,biology,Jamb
2003,48,N/A,An insect with a mandibulate mouth part will obtain its food by,chewing,chewing and sucking,sucking,biting and chewing,D,biology,Jamb
2003,49,N/A,An example of cryptic colouration is the,bright marks on a poisonous tropical frog on variegated leaves,bright colour of an insect-pollinated flower,mottled colours on moths that rest on lichens,green colour of a plant,C,biology,Jamb
2003,50,N/A,An argument against Lamarck's theory of evolution is that,acquired traits cannot be passed onto the offspring,disuse of body part cannot weaken the part,disused part is dropped off in the offspring,traits cannot be acquired through constant use of body parts,A,biology,Jamb
