Year,ID,Image_Reference,Question,Option A,Option B,Option C,Option D,Answer,subject,exam_type
2008,21,N/A,"In the mammalian kidney, the Bowman's capsule is located in the",ureter,pelvis,cortex,medulla,C,biology,Jamb
2008,22,N/A,A plant parenchyma cell also acts as a supporting tissue when it,becomes flaccid,contains crystals,becomes turgid,is pigmented,C,biology,Jamb
2008,23,diag_2008_q23_24.png,The illustration is a typical example of a plant pollinated by,wind,man,insects,birds,A,biology,Jamb
2008,24,diag_2008_q23_24.png,The male inflorescence is labelled,I,II,III,IV,A,biology,Jamb
2008,25,N/A,"During ovulation, an egg is released from the",corpus luteum,ovarian funnel,Graafian follicle,fallopian tube,C,biology,Jamb
2008,26,diag_2008_q26_27.png,The part labelled I represents the,stationary phase,lag phase,log phase,steady phase,B,biology,Jamb
2008,27,diag_2008_q26_27.png,The part labelled IV indicates that the yeast population has,reached its maximum size,reached senescence,stopped metabolizing food,started dying,A,biology,Jamb
2008,28,N/A,The transmission of impulses along a nerve fibre is characterised by,hormonal and temperature changes,electrical and ionic changes,hormonal changes,electrostatic changes,B,biology,Jamb
2008,29,N/A,The major consequence of bush burning in an ecosystem is,the loss of water absorbing ability of the soil,the loss of biological diversity,a decrease in animal population,an increase in soil fertility,B,biology,Jamb
2008,30,N/A,Which of the following associations is an example of mutualism?,Hydra viridis and zoochlorellae,Human and lice,Shark and Remora fish,Bread and Rhizopus stolonifer,A,biology,Jamb
2008,31,N/A,"In a typical freshwater habitat, the edge of the stream or pond constitutes the",tidal zone,intertidal zone,littoral zone,euphotic zone,C,biology,Jamb
2008,32,N/A,The main ecological problem facing intertidal organisms is,desiccation,floatation,salinity,humidity,A,biology,Jamb
2008,33,N/A,Stomata of some plants are sunken and protected by hairs. These are features of,mesophytes,epiphytes,hydrophytes,xerophytes,D,biology,Jamb
2008,34,N/A,An ecological factor that will have the most limiting effect on the abundance of phytoplankton in a turbid pond is,pH,oxygen,light,temperature,C,biology,Jamb
2008,35,diag_2008_q35_36.png,"If species I, II and III interact in a community, which of the following statements is true?",The population of species II is growing at a slow rate,The population of species III has reached its carrying capacity,The population of species I has become extinct,The population of species I is always higher than species II,C,biology,Jamb
2008,36,diag_2008_q35_36.png,The population size of species II on the 20th day is,100,200,300,400,B,biology,Jamb
2008,37,N/A,"In an experiment to determine the percentage of air in a soil sample, the following readings were recorded: Volume of water = 500cm3, Volume of soil = 350cm3, Volume of water and soil after stirring = 800cm3. The percentage of air in the soil sample is",6.25%,10.36%,14.28%,43.28%,A,biology,Jamb
2008,38,N/A,A boy who is fond of swimming in a pond finds himself passing urine with traces of blood. He is likely to have contracted,schistosomiasis,onchocerciasis,poliomyelitis,salmonellosis,A,biology,Jamb
2008,39,N/A,The easiest way to establish the level of pollution in a local stream is to measure the level of,oxygen,carbon (IV) oxide,ammonia,alkalinity,A,biology,Jamb
2008,40,N/A,Which of the following is a major cause of variation among organisms?,Inbreeding,Backcrossing,Sexual reproduction,Gene dominance,C,biology,Jamb
2008,41,N/A,The Rhesus factor of blood was first identified in a category of,monkeys,human females,human males,chimpanzees,A,biology,Jamb
2008,42,diag_2008_q42_43.png,Which of the four offspring of the cross will be short if T the gene for tallness is dominant to t?,I,II,III,IV,D,biology,Jamb
2008,43,diag_2008_q42_43.png,The genotypic ratio of the offspring of the cross is,1:2,1:2:1,1:1:1:1,3:1,B,biology,Jamb
2008,44,N/A,Genetically modified food products have not become universally accepted because,they are not tasty as others produced by conventional means,they are usually costlier than others produced by conventional means,their effects on human consumers is not yet fully understood,the technology can be applied only in developed countries,C,biology,Jamb
2008,45,N/A,A major adaptive feature of endoparasites is the,loss of the organ of movement,presence of claws,loss of the central nervous system,presence of piercing mouthparts,A,biology,Jamb
2008,46,diag_2008_q46_47.png,"From the graph above, it can be appropriately deduced that",the body temperature in II varies with that in I,the body temperature in I is independent of external temperature,I and II maintain constant body temperature,external temperatures affect the body temperature of I and II,B,biology,Jamb
2008,47,diag_2008_q46_47.png,The animal represented by I is a,poikilotherm,homoiotherm,carnivore,herbivore,B,biology,Jamb
2008,48,N/A,The ability of a chameleon to change its colour is an adaptive feature for,attraction,defence,display,attack,B,biology,Jamb
2008,49,N/A,Which of the following is the most advanced evolutionary development in plants?,Possession of unicellular structures,Development of flowers,Dispersal of spores,Development of secondary thickening,B,biology,Jamb
2008,50,N/A,The natural process that produces adaptive evolutionary changes is,mutation,gene flow,genetic drift,natural selection,D,biology,Jamb
