Year,ID,Image_Reference,Question,Option A,Option B,Option C,Option D,Answer,subject,exam_type
2006,15,N/A,Mammals are capable of producing hypertonic urine mainly because of reabsorption in the,Bowman's capsule,urethra,ureter,loop of Henle,D,biology,Jamb
2006,16,N/A,The mammalian vein which starts with and ends in a capillary network is the,pulmonary vein,mesenteric vein,renal vein,hepatic portal vein,D,biology,Jamb
2006,17,N/A,In the transverse section of a dicot stem, the region lying between the endodermis and the vascular bundle is the,parenchyma,pericycle,phloem,hypodermis,biology,Jamb
2006,18,N/A,Hassan and Hussain are identical twins but Hassan grows taller and fatter than Hussain. This is probably because,Hassan inherits genes for tallness and fatness from the father,They have dissimilar genotypes,Hussain is endowed with genes for shortness and thinness,They are raised in different environments,D,biology,Jamb
2006,19,N/A,The two normal types of sex chromosomes are,XXY and XYY,XX and SYY,XY and X,XX and XY,D,biology,Jamb
2006,20,diag_2006_q20_21.png,The diagram represents the structure of,proteins,chromosomes,RNA,DNA,D,biology,Jamb
2006,21,diag_2006_q20_21.png,The part labelled I represents the,base pairs,ribose sugar,phosphate linkage,deoxyribose sugar,A,biology,Jamb
2006,22,N/A,One advantage of variation in a species population is that individuals,with favoured traits become dominant,easily reach their reproductive age,are easily recognised by mates,are better adapted to changes,D,biology,Jamb
2006,23,N/A,Mendel's second law of inheritance states that,alleles combine randomly,alleles segregate independently,alleles separate predictably,chromosomes segregate independently,B,biology,Jamb
2006,24,diag_2006_q24_25.png,The change in the length of the neck of the giraffe shown was brought about by,geographic isolation,predation,symbiosis,natural selection,D,biology,Jamb
2006,25,diag_2006_q24_25.png,The variation illustrated is,discontinuous,morphological,physiological,biochemical,B,biology,Jamb
2006,26,N/A,The intensity of competition among animals in a given area will increase with,an increase in frequency of disease outbreak,an increase in population size,a decrease in the immigration rate,an increase in the emigration rate,B,biology,Jamb
2006,27,diag_2006_q27_28.png,The economic importance of the larva is that it,is eaten by birds,develops into a moth,resembles the plant on which it lives,feeds on the leaves of crops,D,biology,Jamb
2006,28,diag_2006_q27_28.png,The type of adaptation shown by the larva is,mimicry,countershading,flash coloration,disruptive coloration,A,biology,Jamb
2006,29,N/A,The part of the mammalian skin involved in temperature regulation is the,sweat gland,papilla,hair follicle,sebaceous gland,A,biology,Jamb
2006,30,N/A,The role of the Golgi complex in a eukaryotic cell is to,conduct ions in and out of the cell,transport genetic materials out of the cell,provide attachment for ribosomal granules,transport organic materials in and out of the cell,D,biology,Jamb
2006,31,diag_2006_q31_32.png,The maxillary palp is labelled,III,IV,I,II,B,biology,Jamb
2006,32,diag_2006_q31_32.png,The structure labelled I is sensitive to,light and touch,chemicals only,light only,chemicals and touch,A,biology,Jamb
2006,33,N/A,The dominant phase in the life cycle of a bryophyte is the,gametangium,sporophyte,gametophyte,prothallus,C,biology,Jamb
2006,34,N/A,The evidence that supports the advancement of ferns over mosses is derived from,comparative anatomy,molecular records,biochemical similarities,physiological records,A,biology,Jamb
2006,35,N/A,Which of the following vertebrates has the most simple structured heart?,Reptile,Fish,Mammal,Amphibian,B,biology,Jamb
2006,36,diag_2006_q36_37.png,A unique characteristic that distinguishes the class of vertebrates represented from other vertebrates is the presence of,two pairs of limbs,scales on the lower legs,a pair of wings,a covering of feathers,D,biology,Jamb
2006,37,diag_2006_q36_37.png,The structures used for offence and defence are labelled,I and IV,I and II,II and III,III and IV,B,biology,Jamb
2006,38,N/A,One primitive feature of the coelenterates is the possession of,a dorsal mouth,radial symmetry,bilateral symmetry,a false foot,B,biology,Jamb
2006,39,N/A,A characteristic that best exemplifies the evolutionary advancement of mammals over other vertebrates is the,viviparous mode of reproduction,possession of paired limbs,terrestrial mode of life,possession of a heart,A,biology,Jamb
2006,40,N/A,An organism which exhibits extracellular digestion is,Spirogyra,Paramecium,Amoeba,Rhizopus,D,biology,Jamb
2006,41,N/A,The causative agent of typhoid fever is,Salmonella,Entamoeba,Escherichia,Shigella,A,biology,Jamb
2006,42,N/A,Grasses recover quickly from bush fires in the savanna because of their,perennating organs,rapid growth,fibrous roots,succulent stems,A,biology,Jamb
2006,43,N/A,Climax communities in a biotic succession are usually characterised by,a constant change in the appearance of communities,different species that are constantly changing,a stable composition of plant and animal species,rapid changes in the plant and animal species,C,biology,Jamb
2006,44,diag_2006_q44_45.png,Which of the following can be decided from the distribution?,Species II is found only in locations where it rains all year round.,Species III increases in number as rainfall increases.,The distribution of species I to IV is not dependent on rainfall.,Species I thrives under conditions of moderate to high rainfall.,D,biology,Jamb
2006,45,diag_2006_q44_45.png,The species whose distribution is not affected by rainfall is,II,IV,I,III,B,biology,Jamb
2006,46,N/A,The soil type that contains nutrients which are not readily available for plants is,alluvial,clayey,sandy,loamy,B,biology,Jamb
2006,47,diag_2006_q47_48.png,The importance of the association to the fungus is that it obtains,a partner for reproduction,anchorage from the algae,oxygen and carbohydrates from the algae,water and mineral salts from the algae,C,biology,Jamb
2006,48,diag_2006_q47_48.png,The association illustrated demonstrates,parasitism,commensalism,saprophytism,mutualism,D,biology,Jamb
2006,49,N/A,A population that doubles in size at constant intervals is an indication of,sigmoid growth,exponential growth,population explosion,rapid growth,B,biology,Jamb
2006,50,N/A,Trees in the savanna are usually planted to,check desert encroachment,provide wood fuel,beautify the region,break the harmattan wind,A,biology,Jamb
