Year,ID,Image_Reference,Question,Option A,Option B,Option C,Option D,Answer,subject,exam_type
2007,40,diag_2007_q40_41.png,The organelle responsible for heredity is,III,IV,II,I,A,biology,Jamb
2007,41,diag_2007_q40_41.png,The part labelled I is the,nuclear membrane,cell wall,endoplasmic reticulum,plasmalemma,B,biology,Jamb
2007,42,N/A,The process of shedding the exoskeleton of an arthropod is known as,metamorphosis,instar formation,ecdysis,tagmosis,C,biology,Jamb
2007,43,N/A,"Which of the following is common to the mosquito, housefly and blackfly?",They undergo complete metamorphosis,They are parasites of man,Their immature stages are aquatic,Their adults have two pairs of wings,A,biology,Jamb
2007,44,diag_2007_q44_45.png,The process illustrated is,gametogenesis,sporulation,sexual reproduction in Spirogyra,sexual reproduction in Rhizopus,D,biology,Jamb
2007,45,diag_2007_q44_45.png,The structure labelled I is the,sporangium,hypha,zygospore,conidiospore,C,biology,Jamb
2007,46,N/A,An accurate identification of a rapist can be carried out by conducting a,RNA analysis,DNA analysis,blood group test,behavioural traits test,B,biology,Jamb
2007,47,diag_2007_q47_48.png,"If the dogs are offspring of a monohybrid cross and the gene G for grey head is dominant over its allele g, the individual whose genotype is likely to be gg is",I,II,IV,III,B,biology,Jamb
2007,48,diag_2007_q47_48.png,Which of the following will be true of dog II which lost its tail in an accident if it mates with dog III?,None of its offspring will be born without a tail,3/4 of its offspring will be born without tails,All its offspring will be born without tails,1/4 of its offspring will be born without tails,A,biology,Jamb
2007,49,N/A,Which of the following is true of cloning?,It is welcomed as an ethically and morally sound science,Only one cell of the original organism is needed to initiate the process,The clone is similar to but not exactly like the original organism,It involves the asexual multiplication of the tissues of the original organism,D,biology,Jamb
2007,50,N/A,An example of a sex-linked trait is the,ability to grow long hair in females,colour of the skin in humans,ability to roll the tongue,possession of facial hair in adult humans,D,biology,Jamb
