Year,ID,Question,Option A,Option B,Option C,Option D,Answer,subject,exam_type
2000,39,The soil becomes toxic to plants when the concentration of its essential elements is in the range labelled,I,II,III,IV,D,biology,Jamb
2000,40,The pollutants that contribute to the depletion of the ozone layer in the atmosphere are,chlorofluorocarbons,oxides of sulphur,oxides of carbon,radioactive materials,A,biology,Jamb
2000,41,Blood grouping in human beings is derived from combinations of,two different alleles,three different alleles,four different alleles,two different genes,B,biology,Jamb
2000,42,A cross between an albino female and a genetically normal male will result in offsprings that are,all albino,half albino and half normal,all genetically normal,all phenotypically normal,B,biology,Jamb
2000,43,The surest way to combine the best qualities of both parents in the offspring is by,selective breeding,inbreeding,cross-breeding,pure breeding,C,biology,Jamb
2000,44,Examples of water-borne and sex-linked diseases are,dracunculiasis and haemophilia,cholera and gonorrhoea,typhoid and syphilis,taeniasis and malaria,A,biology,Jamb
2000,45,Which of the following structural features are adapted for uses other than water conservation?,feathers in birds,scales in animals,spines in plants,succulent stems,D,biology,Jamb
2000,46,A certain savanna grasshopper changes colour from green during the rainy season to black during the dry season and black after the dry season bush fires. The reason for these colour changes is that the,grasshopper is getting older,grasshopper is avoiding predation,environmental temperature is changing,grasshopper is frequently moulting,B,biology,Jamb
2000,47,"In a group of male Agama lizards, the one with the brightest head colour is the",largest,youngest,oldest,dominant,C,biology,Jamb
2000,48,Complex social behaviour and organization are found mostly in,birds,insects,reptiles,mammals,D,biology,Jamb
2000,49,The mutation theory of organic evolution was propounded by,Gregor Mendel,Jean Lamarck,Hugo de Vries,Charles Darwin,A,biology,Jamb
2000,50,"The older fossil-bearing rocks, in contrast to the more recent ones, are more likely to contain",animal rather than plant remains,flowering plants rather than mosses,invertebrates rather than birds,reptiles rather than fishes,A,biology,Jamb
