Year,ID,Image_Reference,Question,Option A,Option B,Option C,Option D,Answer,subject,exam_type
2005,19,N/A,When a peacock displays its colourful feathers it is,courting a female,ready for a fight,protecting itself from predators,protecting its mate from predators,A,biology,Jamb
2005,20,N/A,"An evidence of a common ancestry for fishes, amphibians, reptiles, birds and mammals is the",cold-bloodedness of fishes amphibians and reptiles,possession of wings by birds and bats,possession of scales by fishes and reptiles,presence of gill clefts in vertebrate embryos,D,biology,Jamb
2005,21,N/A,When an animal has a dark-coloured dorsal surface and a light-coloured ventral surface, this is an adaptation called,colour blending,disruptive coloration,concealment coloration,countershading,biology,Jamb
2005,22,N/A,The association in which one member benefits and the other is relatively unaffected by the interaction is termed,commensalism,mutualism,parasitism,symbiosis,A,biology,Jamb
2005,23,N/A,The only caste in the termite colony whose members can feed themselves are the,workers,reproductives,soldiers,nymphs,A,biology,Jamb
2005,24,N/A,A non-renewable alternative source of energy is,hydroelectric power,wind generators,solar panels,nuclear energy,D,biology,Jamb
2005,25,N/A,Which of the following is used to test for the presence of lime in a soil sample?,HCl(aq),HNO3(aq),H2SO4(aq),NaOH(aq),A,biology,Jamb
2005,26,diag_2005_q26_27.png,At which temperature will cockroaches not survive after 10 days?,33°C,15°C,19°C,24°C,B,biology,Jamb
2005,27,diag_2005_q26_27.png,The optimal temperature for breeding cockroaches is,19°C,33°C,15°C,24°C,D,biology,Jamb
2005,28,N/A,The Mambilla plateau is a unique Nigerian biome located in,Taraba State,Plateau State,Benue State,Borno State,A,biology,Jamb
2005,29,N/A,Secondary succession is much faster than primary succession because,soil is already present,species competition is increased,pioneer colonizers are more in number,secondary series require less nutrients,C,biology,Jamb
2005,30,diag_2005_q30_31.png,Evaporation and transpiration are respectively represented by the components labelled,III and IV,I and II,IV and I,II and III,B,biology,Jamb
2005,31,diag_2005_q30_31.png,The main reservoir of water in the cycle is the,groundwater,plant,ocean,cloud,C,biology,Jamb
2005,32,N/A,The importance of practising crop rotation in agriculture is to,control soil erosion,ensure the growth of crops,improve the nutritional value of crops,maintain soil fertility,D,biology,Jamb
2005,33,N/A,In Nigeria, the Guinea savanna belt borders the,rainforests and the desert,mangrove swamps and the Sahel savanna,rainforests and the Sudan savanna,deserts and the Sudan savanna,biology,Jamb
2005,34,N/A,The recycling method of solid waste disposal is unsuitable for,metal scraps,plastics,organic matter,glass,C,biology,Jamb
2005,35,N/A,The population density of Tridax in an abandoned square farmland of side 200m was found to be 5 plants per m^2. The population size of the plant on the farm is,1000,40000,200000,40,C,biology,Jamb
2005,36,N/A,A yellow maize is crossed with a white maize and the first filial generation produce yellow maize only. The white trait is said to exhibit,recessiveness,incomplete dominance,dominance,codominance,A,biology,Jamb
2005,37,N/A,Which of the following is the best explanation for a child who is phenotypically short and born of two tall parents?,Both parents possess genes for shortness,The father possesses a gene for shortness,The mother possesses a gene for shortness,Nature makes the child short,A,biology,Jamb
2005,38,N/A,The hyphal wall of fungi is rigid owing to the presence of,cellulose,cell wall,chitin,lignin,C,biology,Jamb
2005,39,N/A,I. Rattus rattus II. Agama agama III. Bufo regularis IV. Tilapia zilli. The order of evolutionary advancement of the above vertebrates is,IV III II I,II III IV I,I IV III II,I II III IV,A,biology,Jamb
2005,40,N/A,The transition from amphibians to mammals involves the limbs becoming arranged to support the weight more effectively requiring modifications in the,scapulae and clavicles,vertebrae and sternum,collar bones and coccyx,pectoral and pelvic girdles,D,biology,Jamb
2005,41,diag_2005_q41_42.png,The part of the plant where photosynthesis is least likely to take place is,III,IV,II,I,B,biology,Jamb
2005,42,diag_2005_q41_42.png,The angle between the parts labelled II and III is the,node,internode,axil,bud,C,biology,Jamb
2005,43,N/A,Angiosperms and gymnosperms belong to the class,spermatophyta,bryophyta,schizophyta,pteridophyta,A,biology,Jamb
2005,44,N/A,The blackfly is a vector of,yellow fever,onchocerciasis,trypanosomiasis,malaria,B,biology,Jamb
2005,45,N/A,The organelle common to both plant and animal cells is the,chloroplast,centriole,plasmalemma,cell wall,C,biology,Jamb
2005,46,N/A,The leech and the earthworm belong to the,arachnids,annelids,crustaceans,mollusks,B,biology,Jamb
2005,47,N/A,The stage in the life history of a moth responsible for the destruction of agricultural crops is the,caterpillar,pupa,nymph,imago,A,biology,Jamb
2005,48,N/A,Which of the following is likely to have a higher concentration of mitochondria?,Red blood cell,Egg cell,White blood cell,Sperm cell,D,biology,Jamb
2005,49,N/A,The main function of the caudal fin in Tilapia is to,steer it while changing direction,enable it to float in water,propel it forward in water,balance it in water,C,biology,Jamb
2005,50,N/A,An example of a radially symmetrical organism is,tapeworm,planaria,roundworm,Hydra,D,biology,Jamb
