Year,ID,Question,Option A,Option B,Option C,Option D,Answer,subject,exam_type
2013,27,The theme of Eliot's The Journey of Magi is,nature,journey,quest for salvation,escape from persecution,C,english,Jamb
2013,28,Acquah's In the Navel of the Soul describes the,lack of experienced midwives in the society,excesses of the new generation churches and politicians,complications of motherhood and childbearing,conflict between the church and tradition,D,english,Jamb
2013,29,"""Listen... they will tell you... to beat drums is mere children's play, the adult's is to start echoes...."" The lines above from Launkos' End of the War, enhance the",language of the poem,use of imagery,rhyme scheme,rhythm of the poem,B,english,Jamb
2013,30,The language of Cope's Sonnet VII is generally,poetic,difficult,complicated,simple,D,english,Jamb
2013,31,A device used by a writer to recall past event in a literary work is,flashback,foreshadowing,interlude,anti-climax,A,english,Jamb
2013,32,A paragraph in prose is equivalent to a,stanza in poetry,metre in poetry,trope in poetry,verse in poetry,A,english,Jamb
2013,33,A fable is a brief narrative illustrating wisdom and,custom,truth,urgency,origin,B,english,Jamb
2013,34,A device used in poetry to achieve emphasis or stress a point is known as,assonance,repetition,alliteration,rhyme,B,english,Jamb
2013,35,A literary work that ridicules the shortcomings of people or ideas is,an irony,a fable,a masque,a satire,D,english,Jamb
2013,36,The figure of speech in which the writer means the exact opposite of what he intends to say is,paradox,metaphor,satire,irony,D,english,Jamb
2013,37,Action without speech in a play is,epilogue,mime,soliloquy,aside,B,english,Jamb
2013,38,A literary work that teaches moral is said to be,instructive,corrective,impressive,didactic,D,english,Jamb
2013,39,A mistake committed by the hero which leads to his downfall is known as,climax,tragic flaw,comic relief,terse,B,english,Jamb
2013,40,The speech made by a character to himself on stage is,aside,soliloquy,monologue,epilogue,B,english,Jamb
2013,41,"""Women as a clam, on the sea's crescent I saw your jealous eye quench the sea's Fluorescence, dance on the pulse incessant"" The lines above suggest that women are",dogmatic,seers,magicians,covetous,D,english,Jamb
2013,42,"""Busy old fool Unruly sun Why dost thou thus Through windows And through curtains Call on us?"" The excerpt suggests",welcoming the sun,indictment of the sun,praise of nature,invitation to the sun,B,english,Jamb
2013,43,The figure of speech involved in the lines is,epigram,pun,simile,personification,D,english,Jamb
2013,44,"""Will no one tell me what she sings perhaps the plaintive numbers flow for old, unhappy, far off things And battles long ago."" The lines show that the persona",so hates the words of the girl,understands the girl's song,does not understand the girl's language,is so much in love with the girl,C,english,Jamb
2013,45,"""Or is it some more humble lay, Familiar matter of today?"" The lines end in a literary device known as",irony,conceit,transferred epithet,rhetorical question,D,english,Jamb
2013,46,"""Oh incomprehensible God! Shall my pilot be My inborn stars to that Final call to thee..."" The literary device used in the first line is",burlesque,rhetoric question,passion,apostrophe,D,english,Jamb
2013,47,"""Busy old fool, unruly sun, Why dost thou thus."" From the lines above, the poet sees the sun as",illumination after darkness,an unnecessary evil,a necessary evil,a light provider,B,english,Jamb
2013,48,"""The body perishes, the heart stays young. The platter wears away with serving food. No log retains its bark when old, No lover peaceful while the rival weeps."" The theme of the poem is",non-peaceful nature of love,diminishing nature of love,permanence of love,decaying nature of wood,B,english,Jamb
2013,49,No lover peaceful while the rival weeps means that,the pain of one lover is felt by the other,there is no permanent love,there is true and permanent love,the two lovers weep together,A,english,Jamb
2013,50,"""Will college make you a better Olokun priest? Will it make you serve our ancestors better? Look at me. An able-bodied, strong-hearted priest of Olukun. Did I go to college?"" The literary device used in the passage above is",onomatopoeia,metaphor,simile,parallelism,D,english,Jamb
