Year,ID,Question,Option A,Option B,Option C,Option D,Answer,subject,exam_type
2010,32,Both comedy and tragedy have,climax,tragic hero,stanza,happy ending,A,english,Jamb
2010,33,A formal dignified speech or writing praising a person or a thing for past or present deeds is,eulogy,anthology,lampoon,premiere,A,english,Jamb
2010,34,The narrative style in which the hero tells his own story directly is the,subjective,first-person,third-person,objective,B,english,Jamb
2010,35,"The physical, historical or cultural background of a literary work is referred to as",plot,time,setting,episode,C,english,Jamb
2010,36,A plot structure that defies chronology can be described as,circular,episodic,organic,open-ended,B,english,Jamb
2010,37,Pun as a literary device deals with,placing words side by side,playing on words,arrangement of words,placing two opposite phrases,B,english,Jamb
2010,38,"In a narrative poem, the poet attempts to",describe a place,preach a sermon,tell a story,summarize a story,C,english,Jamb
2010,39,The account of experiences of an individual during the course of a journey is known as,an autobiography,a catalogue,a memoir,a travelogue,D,english,Jamb
2010,40,Satirical writing employs,synecdoche,irony,onomatopoeia,epigram,B,english,Jamb
2010,41,"""Basha: You dumb skull of a bone head... you will face court martial for this. You look everywhere? You search inside toilet bowl?"" The person being addressed above is a",student,domestic servant,lawyer,soldier,D,english,Jamb
2010,42,"From the tone of the speech above, the speaker is obviously",lackadaisical,elated,happy,enraged,D,english,Jamb
2010,43,"""That year the harvest was sad, like a funeral, and many farmers wept as they dug up the miserable yams. One man tied his cloth to a tree branch and hanged himself."" The mood conveyed in the excerpt above is one of",frustration,sympathy,dilemma,sadness,D,english,Jamb
2010,44,"""That age is best which is the first, When youth and blood are warmer, But being spent, the worse, and worst Time still succeed the former."" The rhyme scheme in the excerpt above is",aabb,abab,abba,bbaa,B,english,Jamb
2010,45,"""But the towering earth was tired sitting in one position. She moved, suddenly, and the houses crumbled, the mountains heaved horribly, and the work of a million years was lost."" The subject matter of the extract above is",sea waves,house movement,earthquake,Storm,C,english,Jamb
2010,46,"""And your laughter like a flame piercing the shadows Has revealed Africa to me beyond the snow of yesterday."" From the poem above, shadow means",bleak future,period of sufferings,abstract ideas,famine,B,english,Jamb
2010,47,"""Don't panic. Be calm. If you are some how upset... try to regain your exposure."" The speaker in the excerpt above is",uncertain,afraid,confident,hopeless,C,english,Jamb
2010,48,"""Move him into the sun Gently its touch awoke him once..."" The poem can be described as",an epic,a sonnet,an elegy,a lyric,C,english,Jamb
2010,49,The theme of the poem is,distortion of life,creation of life,vanity of life,futility of life,D,english,Jamb
2010,50,"""A cursing rogue with a merry farce, A bundle of rags upon a crutch, Stumbled upon that windy place Called cruachan, and it was as much."" The rhyme scheme of the stanza above is",abab,bbaa,abba,aabb,A,english,Jamb
